,city_id,city_name,weibo_count
0,1,1_Anqing,3776
1,2,2_Bengbu,3863
2,3,3_Bozhou,1435
3,4,4_Chaohu,2220
4,5,5_Chizhou,3079
5,6,6_Chuzhou,4412
6,7,7_Fuyang,2411
7,8,8_Hefei,14883
8,9,9_Huaibei,932
9,10,10_Huainan,1676
10,11,11_Huangshan,13419
11,12,12_Lu'an,2782
12,13,13_Ma'anshan,1857
13,14,14_Suzhou,1856
14,15,15_Tongling,1458
15,16,16_Wuhu,4785
16,17,17_Xuancheng,5818
17,18,18_Beijing,122491
18,19,19_Chongqing,21679
19,20,20_Fuzhou,10409
20,21,21_Longyan,1394
21,22,22_Nanping,4013
22,23,23_Ningde,4738
23,24,24_Putian,1467
24,25,25_Quanzhou,4518
25,26,26_Sanming,1445
26,27,27_Xiamen,51173
27,28,28_Zhangzhou,2289
28,29,29_Baiyin,316
29,30,30_Dingxi,390
30,31,31_Gannan Tibetan,697
31,32,32_Jiayuguan,901
32,33,33_Jinchang,262
33,34,34_Jiuquan,2520
34,35,35_Lanzhou,5392
35,36,36_Linxia Hui,135
36,37,37_Longnan,162
37,38,38_Pingliang,362
38,39,39_Qingyang,100
39,40,40_Tianshui,994
40,41,41_Wuwei,197
41,42,42_Zhangye,846
42,43,43_Chaozhou,908
43,44,44_Dongguan,4403
44,45,45_Foshan,3671
45,46,46_Guangzhou,39140
46,47,47_Heyuan,310
47,48,48_Huizhou,1518
48,49,49_Jiangmen,997
49,50,50_Jieyang,1083
50,51,51_Maoming,385
51,52,52_Meizhou,594
52,53,53_Qingyuan,439
53,54,54_Shantou,2407
54,55,55_Shanwei,749
55,56,56_Shaoguan,405
56,57,57_Shenzhen,26138
57,58,58_Yangjiang,591
58,59,59_Yunfu,134
59,60,60_Zhanjiang,1043
60,61,61_Zhaoqing,657
61,62,62_Zhongshan,1442
62,63,63_Zhuhai,3689
63,64,64_Baise,401
64,65,65_Beihai,2668
65,66,66_Chongzuo,618
66,67,67_Fangchenggang,199
67,68,68_Guigang,356
68,69,69_Guilin,10779
69,70,70_Hechi,351
70,71,71_Hezhou,171
71,72,72_Laibin,164
72,73,73_Liuzhou,1454
73,74,74_Nanning,5326
74,75,75_Qinzhou,182
75,76,76_Wuzhou,246
76,77,77_Yulin,558
77,78,78_Anshun,983
78,79,79_Bijie,333
79,80,80_Guiyang,6978
80,81,81_Liupanshui,255
81,82,82_Qiandongnan Miao and Dong,1301
82,83,83_Qiannan Buyei and Miao,641
83,84,84_Qianxinan Buyei and Miao,472
84,85,85_Tongren,483
85,86,86_Zunyi,1057
86,87,87_Haikou,4285
87,88,88_Hainan,3422
88,89,89_Sanya,18516
89,90,90_Baoding,2150
90,91,91_Cangzhou,1224
91,92,92_Chengde,832
92,93,93_Handan,1184
93,94,94_Hengshui,340
94,95,95_Langfang,978
95,96,96_Qinhuangdao,1791
96,97,97_Shijiazhuang,3703
97,98,98_Tangshan,1142
98,99,99_Xingtai,560
99,100,100_Zhangjiakou,790
100,101,101_Daqing,568
101,102,102_Daxing'anling,185
102,103,103_Harbin,10700
103,104,104_Hegang,102
104,105,105_Heihe,550
105,106,106_Jiamusi,361
106,107,107_Jixi,264
107,108,108_Mudanjiang,602
108,109,109_Qiqihar,1552
109,110,110_Qitaihe,49
110,111,111_Shuangyashan,99
111,112,112_Suihua,440
112,113,113_Yichun,262
113,114,114_Anyang,1878
114,115,115_Hebi,342
115,116,116_Jiaozuo,1090
116,117,117_Jiyuan shi,377
117,118,118_Kaifeng,1610
118,119,119_Luohe,462
119,120,120_Luoyang,4289
120,121,121_Nanyang,1575
121,122,122_Pingdingshan,846
122,123,123_Puyang,678
123,124,124_Sanmenxia,584
124,125,125_Shangqiu,1263
125,126,126_Xinxiang,1382
126,127,127_Xinyang,1874
127,128,128_Xuchang,892
128,129,129_Zhengzhou,11529
129,130,130_Zhoukou,1139
130,131,131_Zhumadian,758
131,132,132_Enshi Tujia and Miao,865
132,133,133_Ezhou,584
133,134,134_Huanggang,1388
134,135,135_Huangshi,900
135,136,136_Jingmen,553
136,137,137_Jingzhou,1770
137,138,138_Qianjiang,270
138,139,139_Shennongjia,264
139,140,140_Shiyan,1007
140,141,141_Suizhou Shi,296
141,142,142_Tianmen,165
142,143,143_Wuhan,23673
143,144,144_Xiangfan,1841
144,145,145_Xianning,626
145,146,146_Xiantao,167
146,147,147_Xiaogan,836
147,148,148_Yichang,2668
148,149,149_Changde,1060
149,150,150_Changsha,12864
150,151,151_Chenzhou,675
151,152,152_Hengyang,1146
152,153,153_Huaihua,770
153,154,154_Loudi,509
154,155,155_Shaoyang,456
155,156,156_Xiangtan,1072
156,157,157_Xiangxi Tujia and Miao,2712
157,158,158_Yiyang,535
158,159,159_Yongzhou,322
159,160,160_Yueyang,1288
160,161,161_Zhangjiajie,4425
161,162,162_Zhuzhou,1468
162,163,163_Changzhou,30361
